"Date","Open","High","Low","Last","Volume","Turnover"
"2018-02-19",4.655,4.663,4.601,4.61,744069.0,3445414.501
"2018-02-16",4.61,4.666,4.602,4.648,1527663.0,7098674.157
"2018-02-15",4.53,4.627,4.53,4.59,1802985.0,8267400.405
"2018-02-14",4.49,4.531,4.415,4.518,1492968.0,6704085.726
"2018-02-13",4.466,4.506,4.418,4.461,1231669.0,5485510.86
"2018-02-12",4.444,4.506,4.442,4.466,1359888.0,6090436.537
"2018-02-09",4.404,4.485,4.358,4.391,1943605.0,8553908.516
"2018-02-08",4.5,4.561,4.424,4.432,1561119.0,6971261.894
"2018-02-07",4.425,4.551,4.418,4.507,2592674.0,11648185.986
"2018-02-06",4.272,4.475,4.224,4.368,4412542.0,19311401.131
"2018-02-05",4.382,4.485,4.33,4.41,2857897.0,12604469.394
"2018-02-02",4.458,4.505,4.32,4.391,4079359.0,17934312.067
"2018-02-01",3.905,4.493,3.89,4.328,10637834.0,44945576.208
"2018-01-31",3.95,3.95,3.85,3.853,2974514.0,11525567.11
"2018-01-30",3.98,4.032,3.948,3.989,1328883.0,5287088.894
"2018-01-29",3.909,4.022,3.895,3.99,2446716.0,9745959.427
"2018-01-26",3.893,3.902,3.845,3.874,2167439.0,8389275.502
"2018-01-25",3.985,3.99,3.865,3.882,2400537.0,9401736.639
"2018-01-24",4.008,4.01,3.954,3.974,1804238.0,7163265.016
"2018-01-23",4.011,4.026,3.997,4.015,1259426.0,5048976.743
"2018-01-22",3.977,4.018,3.975,3.981,1063795.0,4247137.108
"2018-01-19",3.957,4.013,3.957,3.975,1075293.0,4284323.283
"2018-01-18",4.03,4.052,3.933,3.97,1986721.0,7885112.584
"2018-01-17",4.038,4.084,4.002,4.036,1123302.0,4548328.41
"2018-01-16",4.028,4.104,4.027,4.027,1555858.0,6315143.625
"2018-01-15",4.0,4.05,4.0,4.028,1116054.0,4493869.25
